nodo_id,latitud,longitud
817111191,-11.9862567,-77.0156476
817111195,-11.9857478,-77.0155618
817111198,-11.9841249,-77.0142911
817299720,-11.9830947,-77.0137619
817299722,-11.9835333,-77.0140668
817299726,-11.9839654,-77.0143857
817299741,-11.984768,-77.0153751
817299760,-11.9833564,-77.0158499
817299764,-11.9828887,-77.0156593
817299767,-11.9824099,-77.0154613
817299769,-11.9826322,-77.0149119
817299771,-11.9828498,-77.0143688
817301948,-11.9926831,-77.0151039
817301951,-11.9901501,-77.0152061
817301953,-11.9899564,-77.0152265
817301957,-11.9867514,-77.0157836
817301958,-11.9872058,-77.0157274
817301960,-11.98909,-77.0155131
817301961,-11.990403,-77.0153324
817301967,-11.9958148,-77.0152149
817340858,-11.9881636,-77.0097611
817340863,-11.9866522,-77.0080383
817340866,-11.9887939,-77.0104052
817340878,-11.9875102,-77.0089932
817340898,-11.9899784,-77.0105572
817340901,-11.9897619,-77.0104575
817340903,-11.9892842,-77.0101919
817340909,-11.9884857,-77.009454
817340912,-11.9871629,-77.0079493
817345793,-11.9847798,-77.0065774
817345799,-11.9901375,-77.00505
817345800,-11.9901831,-77.0049341
817345802,-11.9903132,-77.0051246
817345805,-11.9912467,-77.0054114
817345807,-11.9931096,-77.0053594
817345808,-11.9961618,-77.00527
817345809,-11.9961552,-77.0051478
817345815,-11.9903602,-77.0050104
817345816,-11.984978,-77.0065461
817345817,-11.9851365,-77.0059337
817345821,-11.9858109,-77.0032897
817349117,-11.9898798,-77.0085081
817349120,-11.9897328,-77.0075117
817349122,-11.9897171,-77.0067725
817349125,-11.9898203,-77.0058514
817349128,-11.9901051,-77.0101021
817349138,-11.9899444,-77.0074793
817349146,-11.9848601,-77.0068612
817349216,-11.985862,-77.0031417
817349220,-11.986391,-77.00182
817349221,-11.9864249,-77.0017538
817349223,-11.9857437,-77.0030904
817362821,-11.9897004,-77.0109331
817362823,-11.989912,-77.0106519
817362826,-11.9896645,-77.0105322
817362827,-11.9894183,-77.0106512
817362831,-11.9892872,-77.0107185
817385480,-11.9934868,-77.0108928
817385517,-12.0131433,-77.0021517
817385597,-11.9914942,-77.0113326
817385607,-11.9935589,-77.0109795
817385619,-11.9954537,-77.0104196
817385621,-11.9967006,-77.0100481
817385631,-11.9971762,-77.0099009
817385645,-12.0030538,-77.0080817
817385652,-12.0060162,-77.0062196
817385663,-12.0126407,-77.0023171
817385665,-12.0131567,-77.0022567
817385668,-12.0165604,-77.0021005
817385709,-12.0167121,-77.0016922
817385710,-12.0130889,-77.0018032
817385731,-12.0077889,-77.0045469
817385740,-12.0058161,-77.005829
817385754,-11.9972295,-77.0094143
817385756,-11.9970574,-77.0094672
817385758,-11.9965829,-77.0096013
817392940,-11.998192,-77.0147549
817392946,-12.0072119,-77.0112446
817392947,-12.0076854,-77.011088
817392949,-12.012206,-77.0115568
817392950,-12.0168975,-77.0121322
817392952,-12.0211932,-77.0126503
817473977,-11.9599593,-76.9994137
817473978,-11.9611184,-76.9999163
817473980,-11.9619994,-77.0002964
817474022,-11.967126,-77.0035001
817474025,-11.9681812,-77.0044167
817474068,-11.9719592,-77.0069979
817540003,-11.9830758,-77.017863
817540011,-11.9826265,-77.0176754
817540015,-11.9821237,-77.0174546
817540018,-11.9816516,-77.0170829
817540022,-11.9812462,-77.0167711
817540060,-11.9805958,-77.0184527
817540081,-11.9838052,-77.0160428
817540120,-11.9819519,-77.0152755
817540191,-11.9843128,-77.0162499
817540201,-11.9844313,-77.0159401
817600678,-11.9928482,-77.0146355
817600684,-11.9938541,-77.0126609
817600697,-11.9947872,-77.0145407
817600709,-11.994581,-77.0140234
817600715,-11.9956326,-77.0150077
817600731,-11.9953478,-77.0143549
817600747,-11.9942765,-77.0125157
817600763,-11.9905696,-77.0146273
817600766,-11.991043,-77.0145337
817600769,-11.991933,-77.0144207
817600771,-11.9923742,-77.0145062
817600780,-11.9917795,-77.0130651
817600782,-11.9918683,-77.0135724
817600818,-11.9929065,-77.0140696
817600819,-11.9926984,-77.012895
817600844,-11.9906556,-77.0151196
817600900,-11.9922263,-77.0129758
817600902,-11.9903216,-77.013344
817641473,-11.991011,-77.0112647
817641496,-11.994114,-77.0121259
817641506,-11.9937828,-77.0114333
817642523,-11.9895118,-77.0116354
817651212,-11.9832494,-77.0107346
817651213,-11.979781,-77.0116826
817651215,-11.9803132,-77.0108186
817651216,-11.9807616,-77.0098383
817652555,-11.9795063,-77.0048581
817652572,-11.9768166,-77.0098028
817652616,-11.9778966,-77.0080545
817657231,-11.9812305,-77.0055519
817657695,-11.979747,-77.0092406
817660603,-11.9829323,-77.0061486
817660614,-11.98161,-77.010161
817689193,-11.9829766,-77.0060094
817689195,-11.9812752,-77.0054244
817689218,-11.9861471,-77.0007418
