origen,destino,distancia_metros,tiempo_minutos,nombre_calle
499564529,4356245527,111.1896720664865,0.22,Sin nombre
499564533,824310839,55.813773345841824,0.11,Sin nombre
499564533,824237702,170.36493169202654,0.34,Sin nombre
499564538,817473980,13.779590001642111,0.03,Sin nombre
499564538,1317787963,39.61525120280665,0.08,Sin nombre
499564538,1317787891,104.69628199087198,0.21,Sin nombre
499585667,824203126,14.547244088551523,0.03,Sin nombre
499585667,824253479,219.66817013557468,0.44,Sin nombre
499585678,11000969772,10.916776265524659,0.02,Sin nombre
499585678,499585783,18.712514650831324,0.04,Sin nombre
499585682,1343053201,14.087380434843618,0.03,Sin nombre
499585682,1343139786,306.21692704800705,0.61,Sin nombre
499585687,3738206017,21.890686791354288,0.04,Sin nombre
499585687,1343139626,39.0552027319643,0.08,Sin nombre
499585714,3738203681,14.483565035028612,0.03,Sin nombre
499585714,3738203663,105.5495327934739,0.21,Sin nombre
499585714,499585727,20.684564325763134,0.04,Sin nombre
499585727,3738203672,17.67120368888811,0.04,Sin nombre
499585727,1343538992,159.92596674886164,0.32,Sin nombre
499585753,3738205956,14.010544070774296,0.03,Sin nombre
499585753,1344496321,295.9783150003582,0.59,Sin nombre
499585768,1344415224,27.349560732246772,0.05,Sin nombre
499585768,3738206012,134.07460940244474,0.27,Sin nombre
499585771,1343139782,28.079306398755353,0.06,Sin nombre
499585771,1343139699,108.63272305205463,0.22,Sin nombre
499585783,1342138548,22.019404268997025,0.04,Sin nombre
499585783,4285188016,12.092707748418382,0.02,Sin nombre
499585798,824299308,11.532822293022825,0.02,Sin nombre
499585798,817694884,18.960869288452862,0.04,Sin nombre
499585798,817652555,192.27176998191004,0.38,Sin nombre
499585876,1578886297,48.37053500459702,0.1,Sin nombre
499585876,10609356061,96.8027011720349,0.19,Sin nombre
499588497,5302564901,11.931262766894893,0.02,Sin nombre
499588497,6495432173,20.09892049005745,0.04,Sin nombre
499588499,1366011941,11.194571663285064,0.02,Sin nombre
499588499,7719056105,121.67582886792471,0.24,Sin nombre
499588499,1804902040,63.702376050279696,0.13,Sin nombre
499588507,1937017948,22.743105597933024,0.05,Sin nombre
499588507,1754944978,78.61022288954065,0.16,Sin nombre
816743662,1302759099,58.25456220071034,0.12,Sin nombre
816743662,817086803,92.63577828468806,0.19,Sin nombre
816743663,1302759099,56.206333180598,0.11,Sin nombre
816743663,816743664,125.05719336805365,0.25,Sin nombre
816743663,816743702,112.3182360430863,0.22,Sin nombre
816743664,816743665,52.63741788209262,0.11,Sin nombre
816743664,8040788843,9.06078178180795,0.02,Sin nombre
816743664,817111198,56.78561745776143,0.11,Sin nombre
816743665,1302759059,146.77091481057977,0.29,Sin nombre
816743665,816805727,109.56887119810611,0.22,Sin nombre
816743702,816743706,56.07345158432861,0.11,Sin nombre
816743702,816805422,77.57071616787613,0.16,Sin nombre
816743706,816805179,187.2054428687976,0.37,Sin nombre
816743720,4356023767,12.564158846922002,0.03,Sin nombre
816743720,1302759117,14.338849479437364,0.03,Sin nombre
816743720,824087192,70.02134190251002,0.14,Sin nombre
